"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"7";"«Дербеневская наб.», 3-й Дербеневский переулок (7)";"37.6551636";"55.72566817";"3-й Дербеневский переулок";"Южный административный округ";"Даниловский район";"А632; А13";"Дербеневская наб.";"";"да";"ГУП «Мосгортранс»";"активна";"889076457";"0101000000CBC39D66DCD34240F7F2D0B1E2DC4B40";"";
"11";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (11)";"37.57240854";"55.74944352";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А205; А91";"Наб. Тараса Шевченко";"";"да";"ГУП «Мосгортранс»";"активна";"889076459";"010100000024A0DBAE44C94240B04CE8C3EDDF4B40";"";
"12";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (12)";"37.57271647";"55.74976112";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А91";"Наб. Тараса Шевченко";"";"да";"ГУП «Мосгортранс»";"активна";"889076460";"0101000000EA43F6C54EC942402E1B212CF8DF4B40";"";
"27";"«ВКНЦ», 3-я Черепковская улица (27)";"37.37550932";"55.7572642";"3-я Черепковская улица";"Западный административный округ";"район Кунцево";"А798; А816; А660";"ВКНЦ";"";"да";"ГУП «Мосгортранс»";"активна";"889076461";"0101000000215F7CB010B042403FB78608EEE04B40";"";
"33";"«Новосущевская ул.», улица Сущёвский Вал (33)";"37.60337594";"55.79289095";"улица Сущёвский Вал";"Северо-Восточный административный округ";"район Марьина Роща";"А126; А84; А384; АТ18; АТ42";"Новосущевская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076463";"010100000023BF3C6C3BCD4240AEC55D737DE54B40";"";
"35";"«Керамический пр.», Дубнинская улица (35)";"37.55724554";"55.89460802";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076464";"0101000000281265D253C74240D551FE8382F24B40";"";
"36";"«Ин-т Стали», Дубнинская улица (36)";"37.55729147";"55.89142924";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076465";"0101000000B1FEAE5355C74240C33F745A1AF24B40";"";
"37";"«Мкр. Дубки», Дубнинская улица (37)";"37.55730686";"55.88768746";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076466";"0101000000AAC4C8D455C7424079E220BE9FF14B40";"";
"38";"«Д/к Юность», Дубнинская улица (38)";"37.5573643949";"55.8833589241";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076467";"010100000071066CB757C74240D3D1BCE711F14B40";"";
"39";"«Баскетбольная школа», улица 800-летия Москвы (39)";"37.55636146";"55.88011364";"улица 800-летия Москвы";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А748; А167; А857; А149";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076469";"010100000037BA31DA36C7424021485290A7F04B40";"";
"40";"«Ул. 800-летия Москвы», Дмитровское шоссе (40)";"37.54599654";"55.87767168";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А763; А63; А994; АТ36; АТ78";"Ул. 800-летия Москвы";"";"да";"ГУП «Мосгортранс»";"активна";"889076470";"0101000000BB83F136E3C54240D91CAD8B57F04B40";"";
